year,month,day,author,title,abstract
2025,4,15,"Egor Kashkin, Irina Khomchenkova (Vinogradov Russian Language Institute of the Russian Academy of Sciences)","Russian in contact: projects of the Language Contact Group at the Vinogradov Russian Language Institute","The presentation will outline the research on language contact which is carried out at the Vinogradov Russian Language Institute. We are interested in contact situations where Russian is either the source or the target language. First, we will discuss the influence of Russian on neighbouring languages, particularly instances of code-switching and borrowings. We will elaborate on corpus-based case studies of Russian conjunctions, which interact with the local system of clause combining. Second, we will present our projects on non-standard varieties of Russian (mainly those used by the speakers of different Uralic languages, with some parallels drawn from the study of Russian speech in Kyrgyzstan and preliminary typological observations). In addition to the evidence from participant observation, they involve data from the corpus specifically designed to annotate contact-induced features. The main principles of the development of such a corpus will be summarized. Selected corpus-based case studies will be presented (e.g. prepositional phrases in the Russian variety used by Nganasan speakers)."
2025,4,8,"Тимкин Тимофей Владимирович (Институт филологии СО РАН)","Исследование длительности гласных в языках народов Сибири: новые методы и материалы","Длительность является одним из ключевых признаков гласных, участвующих в организации вокалической системы. Однако высокая вариативность темпа речи, слоговых и ритмических факторов затрудняют анализ этого признака в типологической перспективе. Для учета этих факторов и построения динамической модели длительности гласных в Институте филологии СО РАН ведется сбор фонетического материала по тюркским и финно-угорским идиомам Сибири. Комплексный подход предполагает использование экспериментально-фонетических методик, а также сбор соматических данных с помощью УЗИ и МРТ. В докладе будут представлены предварительные результаты работы."
2025,4,1,"Oxana Goncharova (Pyatigorsk State University)","Emotion Recognition in Bilingual Speech: A Comprehensive Deep Learning-Based Method","This study explores emotion recognition in bilingual speech through a comparative analysis of machine learning (ML) and deep learning (DL) techniques. Initially, a hybrid framework was implemented, combining Mel-frequency cepstral coefficients (MFCCs) with prosodic features (e.g., pitch, intensity, speech rate) and conventional ML algorithms. While preliminary results were encouraging, the approach suffered from overfitting and limited robustness to minor data variations.
To overcome these limitations, we propose a deep learning architecture that integrates a CNN-based autoencoder with an embedding network. Experimental evaluations demonstrate a significant enhancement in performance metrics compared to traditional methods, highlighting the potential of multimodal frameworks for emotion analysis in bilingual speech.
"
2025,3,25,"Eva Poliakova (HSE University)","Field notes on Khwarshi: the biabsolutive construction and information structure (PART 2)","This talk will be dedicated to two topics which were the focus of my research during a field trip to the Khwarshi language (Nakh-Daghestanian) that took place in January of this year. Therefore, the talk will be divided into two parts.
 
First, I will discuss the biabsolutive construction in Khwarshi. In this construction both arguments of a transitive verb are marked by the absolutive case, and the verb form is restricted to (periphrastic) progressive. I will discuss some of its properties, including ones that were not discussed before (e.g. its behavior in an embedded clause). I will also show that some speakers allow forming an absolutive construction not only with a progressive form, but also with a resultative one, though in this case some additional restrictions seem to hold.

Second, I will discuss some findings about information structure in Khwarshi. This topic was investigated mostly based on question-answer tasks and tasks involving picture description. I will show that different word orders can be used to mark focus in Khwarshi, including insertion of the focused constituent inside a periphrastic verb form and inversion of lexical verb and auxiliary."
2025,3,18,"Eva Poliakova (HSE University)","Field notes on Khwarshi: the biabsolutive construction and information structure","This talk will be dedicated to two topics which were the focus of my research during a field trip to the Khwarshi language (Nakh-Daghestanian) that took place in January of this year. Therefore, the talk will be divided into two parts.
 
First, I will discuss the biabsolutive construction in Khwarshi. In this construction both arguments of a transitive verb are marked by the absolutive case, and the verb form is restricted to (periphrastic) progressive. I will discuss some of its properties, including ones that were not discussed before (e.g. its behavior in an embedded clause). I will also show that some speakers allow forming an absolutive construction not only with a progressive form, but also with a resultative one, though in this case some additional restrictions seem to hold.

Second, I will discuss some findings about information structure in Khwarshi. This topic was investigated mostly based on question-answer tasks and tasks involving picture description. I will show that different word orders can be used to mark focus in Khwarshi, including insertion of the focused constituent inside a periphrastic verb form and inversion of lexical verb and auxiliary."
2025,3,11,"Masha Volina (HSE University)","Demonstrative Pronouns in Khwarshi","The Khwarshi language (Nakh-Daghestanian) has a rich system of demonstrative pronouns. Three series of demonstratives can be distinguished: žu — idu, o-CL-žu — a-CL-du and hobo-žu — hobo-du. Each series includes proximal and distal pronouns (which can be used both attributively and substantively), a demonstrative adjective with a meaning close to such and several adverbs. Pronouns from all three series can function deictically and anaphorically, although there is a 'primarily anaphoric' series žu — idu and a 'primarily deictic' series o-CL-žu — a-CL-du. Also, the paradigmatic structure of the Khwarshi demonstrative system is quite complex.
 
In this talk, mainly based on my fieldwork data, I will describe the morphological structure of Khwarshi demonstratives, and the syntactic differences in their usage (mostly outlined in 'A language for Guinness World Records: Fifteen (or more?) reflexive pronouns in Khwarshi' by Yakov Testelets). I will also briefly discuss spatial and discursive factors that influence the choice of a deictic, as well as my hypotheses regarding the differences in their semantics and, accordingly, their functions."
2025,3,4,"Timofey Mukhin (HSE University, University of Liège), Michael Daniel (University of Tübingen)","From space to anaphora: there and back again","In this talk, we consider the anaphoric uses of demonstratives in Mehweb Dargwa. The main goal is to explore how the primary spatial deictic meaning of demonstratives is refracted in the textual - anaphoric - dimension.

We found that the choice of the demonstratives cannot be fully explained in terms of discourse dimensions such as anaphoric distance (Givón 1983). In narrative uses of elevational demonstratives, the center relative to which the referent's position is determined shifts as compared to its deictic uses. In deictic uses of the elevational demonstratives, the deictic center is primarily associated with the speaker. In their anaphoric uses, the elevation value is calculated wrt the most topical/activated referent. 

We suggest that the deictic uses of demonstratives defined by spatial relation with the deictic center do not fully convert into the textual dimension of anaphora when the same demonstratives are used in narratives. While this is easily seen with elevational demonstratives, the question remains whether the same factor is not present in elevation-neuter demonstratives in Mehweb and cross-linguistically, where researchers attempt to provide a full account of their use in purely anaphoric terms."
2025,2,25,"Lena Mironova (HSE University), Yury Lander (HSE University), Shamset Unarokova (Adyghe State University)","One or two approaches to West Caucasian demonstratives","In this talk, we discuss the demonstrative systems in (Temirgoi) West Circassian and (Ashkharawa) Abaza, which represent two branches of the West Caucasian family. Our data come from an experiment based on the questionnaire (Wilkins 2018), which helps to establish the parameters that affect the choice of a demonstrative in its exophoric non-contrastive function.
Both West Circassian and Abaza languages have tripartite demonstrative systems. Our data show the relevance of both the distance parameter and the speaker- or addressee-anchoring parameter, as well as the parameter of visibility, the presence of spatial boundaries and the presence of gestures. However, there are significant differences between the systems of the two languages. We will present our experimental results, describe the meanings of each demonstrative, outline the structural differences between the systems, and suggest some generalizations.
Finally, we will discuss two possible interpretations of our data: it remains to be determined whether these treatments are complementary or whether they should be strictly differentiated.
"
2025,2,18,Maksim Stepanyants (HSE University),"An attempt at a comprehensive description of Modern Eastern Armenian additive marker ēl","Modern Eastern Armenian (MEA) discourse markers have been generally neglected in the typological literature. However, there is one that has been included in the sample of Forker's (2016) influential paper on additives' polysemy, namely, ēl (էլ). A closer look at the semantics and morphosyntactic properties of this exponent reveals its broad polysemy, which can contribute to the theory of additive markers, cf. also (Gast & van der Auwera 2013. Its diachronic development also needs to be addressed: it presents a case of divergent development of multiple specialized markers (with different morphosyntactic properties) from a conceivable common source, possibly affected by areal influence. The marker ēl is special among other MEA focus markers (cf. Giorgi & Haroutyunian 2016) due to its almost unique enclitic status. In this talk an attempt will be made to address all these issues in a wholistic typologically-anchored approach."
2025,2,11,"Masha Krivolap, Maksim Melenchenko (HSE University)","Predicting Shughni gender with machine learning","Our study aims to investigate the influence of various factors of gender assignment in the Shughni language (Eastern Iranian) using machine learning. We have trained several models to predict grammatical gender (feminine or masculine) on a dataset of 2,390 nouns from the Shughni-Russian dictionary. For training, we used both semantic features (semantic classes and vectorized Russian definitions) and formal features (word endings and the last vowel of the stem). Our results show that semantics plays a primary role in gender assignment in Shughni, as the proposed semantic features can correctly predict the gender for ≈80% of nouns in our sample. Formal features seem less significant and can correctly predict the gender for only ≈70% of nouns in the dataset. The correlation between these two types of gender predictors is high (especially for feminine gender), so combining them does not yield significantly better results."
